provnum,overall_rating,survey_rating,staffing_rating,RN_staffing_rating,quality_rating,ssf,restot,ownership
335514,1,1,1,2,4,N,110,"For profit - Corporation"
335515,4,4,1,2,5,N,183,"Non profit - Other"
335516,5,5,2,2,5,N,370,"For profit - Partnership"
335517,5,5,3,3,5,N,55,"For profit - Corporation"
335518,1,1,3,2,4,N,216,"Government - County"
335520,2,1,4,3,4,N,142,"Non profit - Corporation"
335521,5,4,2,3,5,N,236,"Non profit - Corporation"
335522,3,3,1,1,5,N,158,"Non profit - Corporation"
335523,4,4,4,5,4,N,119,"Non profit - Corporation"
15031,5,4,4,3,5,N,204,"For profit - Corporation"
335524,4,4,2,3,4,N,115,"Non profit - Corporation"
335525,2,2,2,2,3,N,74,"For profit - Corporation"
335526,2,3,1,2,3,N,89,"For profit - Partnership"
335527,3,2,4,3,3,N,49,"Non profit - Corporation"
335528,4,3,4,3,3,N,79,"For profit - Individual"
335531,5,5,2,3,5,N,365,"For profit - Partnership"
335532,4,4,4,3,4,N,116,"For profit - Individual"
335533,3,4,1,2,4,N,78,"For profit - Corporation"
335534,3,3,2,2,4,N,100,"For profit - Corporation"
335537,2,1,2,4,5,N,427,"Non profit - Corporation"
15032,4,3,4,5,3,N,126,"For profit - Corporation"
335538,2,1,1,2,5,N,127,"Non profit - Church related"
335539,5,4,3,4,5,N,425,"Non profit - Church related"
335540,2,1,4,3,4,N,89,"For profit - Corporation"
335541,2,1,4,4,5,N,320,"Non profit - Corporation"
335543,3,2,4,3,4,N,117,"For profit - Corporation"
335545,4,4,3,3,4,N,250,"Non profit - Corporation"
335546,2,1,4,4,3,N,209,"For profit - Corporation"
335548,2,1,4,3,4,N,70,"For profit - Corporation"
335549,2,1,4,4,5,N,71,"Government - County"
335550,2,1,0,0,5,N,147,"Non profit - Corporation"
15034,2,2,2,1,4,N,70,"For profit - Corporation"
335553,4,3,5,5,2,N,36,"Non profit - Corporation"
335554,3,2,4,3,4,N,53,"For profit - Corporation"
335555,5,3,4,4,5,N,558,"For profit - Corporation"
335556,1,1,1,1,2,N,73,"For profit - Individual"
335557,2,3,1,1,4,N,205,"Non profit - Corporation"
335558,3,3,1,2,5,N,195,"For profit - Partnership"
335559,4,4,2,3,4,N,235,"For profit - Corporation"
335560,4,4,1,2,5,N,191,"Non profit - Corporation"
335561,4,3,2,4,5,N,265,"For profit - Partnership"
335562,3,3,3,2,4,N,264,"Government - County"
15035,5,5,4,4,4,N,107,"For profit - Corporation"
335563,4,3,4,4,4,N,70,"Non profit - Corporation"
335564,4,3,5,5,4,N,92,"Government - County"
335565,1,1,1,2,3,N,217,"For profit - Corporation"
335566,5,3,4,3,5,N,92,"Non profit - Corporation"
335568,5,4,2,2,5,N,73,"For profit - Corporation"
335569,4,3,4,3,3,N,114,"Non profit - Corporation"
335570,5,5,4,5,5,N,395,"Non profit - Corporation"
335571,3,3,1,1,5,N,199,"For profit - Corporation"
335572,4,4,4,4,4,N,74,"For profit - Corporation"
335573,5,5,4,4,5,N,76,"For profit - Partnership"
15037,3,2,3,3,5,N,85,"For profit - Corporation"
335574,1,1,3,3,4,N,94,"Non profit - Corporation"
335576,4,3,4,4,4,N,133,"Non profit - Church related"
335577,3,3,2,3,4,N,88,"For profit - Corporation"
335578,4,3,4,3,3,N,114,"For profit - Partnership"
335579,4,3,4,3,4,N,87,"For profit - Corporation"
335581,2,2,1,2,5,N,449,"For profit - Partnership"
335582,2,2,1,2,5,N,291,"For profit - Corporation"
335583,4,4,1,1,5,N,185,"Non profit - Corporation"
335585,2,2,2,2,4,N,87,"For profit - Corporation"
335586,2,1,4,3,3,N,74,"For profit - Corporation"
15040,4,3,3,4,5,N,104,"For profit - Corporation"
335587,1,2,1,1,3,N,108,"For profit - Corporation"
335588,2,1,4,4,4,N,77,"For profit - Corporation"
335589,2,1,4,4,3,N,155,"For profit - Individual"
335590,1,1,1,1,1,N,76,"For profit - Corporation"
335592,3,2,4,4,4,N,153,"For profit - Individual"
335593,2,2,3,2,4,N,109,"For profit - Individual"
335595,1,2,2,3,1,N,36,"For profit - Individual"
335596,2,1,4,4,3,N,107,"For profit - Partnership"
335598,4,3,4,3,2,N,79,"Government - County"
335600,1,1,3,2,3,N,186,"Non profit - Corporation"
15042,5,4,4,2,5,N,87,"For profit - Corporation"
335601,5,3,4,3,5,N,75,"Non profit - Corporation"
335603,4,2,4,5,5,N,111,"For profit - Corporation"
335604,4,4,1,2,5,N,116,"For profit - Corporation"
335606,5,5,4,5,5,N,52,"Non profit - Corporation"
335607,4,4,2,3,2,N,39,"For profit - Individual"
335609,4,3,3,2,5,N,264,"For profit - Partnership"
335610,3,4,1,1,2,N,33,"For profit - Individual"
335611,4,3,2,4,5,N,173,"For profit - Corporation"
335612,2,1,4,3,4,N,236,"Non profit - Corporation"
335613,4,4,3,4,4,N,118,"Non profit - Corporation"
