population_size,poverty_rate,mammogram_rate,uninsured_rate,prim_care_phys_rate,community_health_center_ind
7705,25.4,-1111.1,3,26,1
16861,20.8,-1111.1,4.6,47.4,1
10782,38.6,-1111.1,2.3,27.8,1
13609,29,-1111.1,3.6,0,2
12807,18.4,-1111.1,4.1,54.7,2
22567,16.6,-1111.1,6.9,31,1
65233,11.7,74.5,21.9,26.1,1
15651,17,-1111.1,7.2,12.8,1
16774,17.7,85.2,6.2,23.8,2
43226,19.8,58.3,12.8,71.7,2
46808,23.5,68.2,10.9,53.4,1
8518,26,-1111.1,2.4,47,1
9047,17.7,-1111.1,4.1,22.1,1
9157,22,-1111.1,2.8,32.8,2
8298,23.3,-1111.1,3.4,24.1,1
25770,22,77.2,6.8,58.2,1
10317,16.2,-1111.1,3.8,19.4,2
21603,34.9,-1111.1,4.5,37,1
10616,17.5,-1111.1,5,37.7,2
24721,23.8,79.9,7.3,16.2,1
20257,19.5,66.2,7.9,64.2,1
59952,15.7,71.9,18.6,75.1,2
8580,18.1,-1111.1,3.6,23.3,1
376797,16.5,78.9,108.7,158.2,1
18134,20.4,-1111.1,6,55.1,1
26336,31.4,-1111.1,7.1,45.6,1
98209,9.6,79.3,28.1,49.9,2
11248,19.9,-1111.1,4.4,17.8,2
8048,24.2,-1111.1,3.2,24.9,1
122274,17.3,75.7,42.6,124.3,1
16519,22.3,-1111.1,8.5,66.6,2
17866,19.7,-1111.1,6,39.2,2
12090,19.4,-1111.1,5.1,41.4,2
43213,19.8,73,12,94.9,1
16575,18.3,-1111.1,6.3,30.2,1
195803,15,74.6,91.4,87.3,1
74845,16.7,67.6,24.2,58.8,1
7439,27.1,-1111.1,2.6,67.2,1
21976,17.6,-1111.1,10.6,41,2
1474368,10.4,79.8,413.2,124.1,1
1061,15.7,-1111.1,0.5,0,2
38238,9.8,-1111.1,8.5,65.4,2
220337,20.7,87.8,67.1,73.5,1
46843,11.5,-1111.1,14.4,38.4,2
21204,13.5,-1111.1,9.1,28.3,1
1029703,9.4,85.6,295.4,102.3,1
29100,23.6,-1111.1,6.9,75.6,1
176075,7.8,-1111.1,52.5,81.2,1
909153,22.1,85,316.4,79.7,1
28237,16.9,-1111.1,11.1,14.2,1
129000,19.8,-1111.1,42.5,93,1
163972,21.5,-1111.1,52.7,31.1,1
17136,11.6,-1111.1,6.1,151.7,1
800458,20.5,83.6,245.3,62.6,1
149518,17.9,-1111.1,46,43.5,1
64866,17.9,-1111.1,19.3,69.4,1
34574,20.7,-1111.1,6.5,52.1,1
9862049,15.3,79.3,4,93.1,1
148333,18.2,-1111.1,60.8,54.6,1
248794,7.1,-1111.1,67.8,168,1
17976,13.5,-1111.1,5.6,44.5,1
86221,17.7,-1111.1,30.9,105.5,1
246117,21.5,-1111.1,75.4,54.4,1
9184,17.4,-1111.1,3.2,32.7,2
12774,9.6,-1111.1,6.3,78.3,2
408238,12.7,-1111.1,176,72,1
133433,9,-1111.1,48.3,105.7,1
97118,9.2,-1111.1,32.2,91.6,2
3010759,9.9,86.1,1,107.7,1
341945,6.7,94.6,76.6,113.2,2
20275,12,-1111.1,6.5,83.8,2
2100516,12.6,79.7,1,46.5,1
1394154,13.3,83.5,404,94.8,1
54699,10.4,-1111.1,17.9,42,1
2015355,14.7,78.8,856,61.8,1
3001072,12.6,80.8,1,93.1,1
808976,11.2,-1111.1,243.9,221.3,1
672388,16.5,-1111.1,202.5,68.9,1
265297,12.1,-1111.1,93,89,1
712690,6.5,89.5,203.8,118.6,1
405396,12.7,-1111.1,179.3,99.2,1
1764499,7.6,91.2,506.7,125.9,1
253137,13.3,-1111.1,97.7,105.1,1
180214,17.7,-1111.1,46.9,78.8,1
3263,12.7,-1111.1,1.3,0,1
44542,16.4,-1111.1,13.9,85.3,1
407515,9,93.6,121.3,84.7,1
466741,10.4,78.9,162.5,107.8,1
510694,14.4,91.9,159,72.3,1
92207,15.5,-1111.1,33.2,90,1
61550,16.5,-1111.1,21,40.6,2
14317,19.9,-1111.1,4.3,41.9,2
426276,21.5,-1111.1,138,54.7,1
55644,12.5,-1111.1,13.2,86.3,2
797740,8.7,87.1,233.2,84.7,1
197658,14.6,-1111.1,74.2,134.1,1
73067,16.6,-1111.1,22.5,37,1
430836,12,77.5,127.8,37.4,1
15417,21.4,-1111.1,5.7,84.3,1
554282,9.8,84.9,163.8,92.9,1
12648,11.3,-1111.1,4.9,55.3,2
3834,17.7,-1111.1,1.6,52.2,2
5902,29.4,-1111.1,1.6,0,1
293161,10.3,84.2,112.2,134.4,1
54858,5,-1111.1,11.9,87.5,2
16995,11.9,-1111.1,5.3,76.5,2
1749,12,-1111.1,0.8,114.4,2
8908,7.4,-1111.1,2.8,22.5,2
8067,21.2,-1111.1,3.5,49.6,1
3232,24.8,-1111.1,1.7,0,1
6332,46.2,-1111.1,1,15.8,2
3999,11.8,-1111.1,2,50,2
30923,12.1,-1111.1,11.6,74.4,2
598707,18,73.5,233.7,177.7,1
1986,11.8,-1111.1,0.8,50.4,1
280621,3.1,86.5,53,57.4,2
52331,6.8,-1111.1,25.7,87.9,2
22929,5.5,-1111.1,6.9,0,2
596053,10.6,78.5,195.4,54,1
47283,14.7,-1111.1,10,48.6,1
55426,7.4,-1111.1,21.9,65,1
5153,6.2,-1111.1,1.1,0,1
13781,6.9,-1111.1,5.8,79.8,2
15147,12,-1111.1,7.4,79.2,2
840,7.3,-1111.1,0.4,119,2
7938,23.8,-1111.1,1.9,50.4,1
1346,15.6,-1111.1,0.6,74.3,2
533339,7.6,80.4,138.7,93.6,1
1321,12.2,-1111.1,0.5,0,2
7843,14.5,-1111.1,3.2,51,1
7994,12.7,-1111.1,3.7,25,2
50482,10.9,-1111.1,20.3,101,1
