population_size,poverty_rate,mammogram_rate,uninsured_rate,prim_care_phys_rate,community_health_center_ind
13731,17,-1111.1,2.8,14.6,1
507579,9,85.3,146.5,46.5,1
112524,13.7,-1111.1,23.5,54.2,1
103460,3.4,-1111.1,22.3,31.9,2
51857,16.5,-1111.1,9.6,77.1,2
712453,7.6,81.4,195.7,109.6,1
112474,10.4,-1111.1,27.3,48,1
16681,17.3,-1111.1,3.4,36,2
35129,9.9,-1111.1,7.1,71.2,2
37681,11.4,-1111.1,7.1,42.5,2
29788,12.3,-1111.1,4.8,40.3,2
32788,20.8,-1111.1,10,70.1,1
318641,5.2,-1111.1,74.6,55.2,1
165298,11.4,-1111.1,37.4,65.3,2
108328,13.5,-1111.1,19.8,97.9,1
48138,12.6,-1111.1,11.4,29.1,1
268078,12.6,78.9,71.7,54.5,1
39505,14.6,-1111.1,7.8,63.3,1
12670,8.8,-1111.1,2.6,15.8,2
15076,13.5,-1111.1,2.9,19.9,2
15070,15.6,-1111.1,2.7,19.9,2
12464,9.1,-1111.1,2.8,24.1,2
16481,9.4,-1111.1,3.7,18.2,2
32804,4.4,-1111.1,6.8,33.5,2
29773,16.8,-1111.1,5.7,53.7,2
35251,14,-1111.1,6.2,53.9,2
14374,9.9,-1111.1,2.9,41.7,2
55167,8.5,-1111.1,14.3,50.8,2
183655,15,81.6,35.3,153,1
22484,16.3,-1111.1,3.9,53.4,1
16505,6.4,-1111.1,3.7,18.2,2
16519,15.6,-1111.1,4.1,42.4,2
4079,19.3,-1111.1,1.1,24.5,1
6362,26.6,-1111.1,1.4,0,1
6003,7.4,-1111.1,1.5,16.7,2
32641,14.4,-1111.1,5.7,64.3,2
15532,14.9,-1111.1,3.5,90.1,2
146886,12,81.4,35,59.2,1
262291,15.3,-1111.1,58.4,80.4,1
25944,19.2,-1111.1,4.8,73.2,1
194925,11.4,82.6,35.9,154.4,1
6916,12.4,-1111.1,1.7,43.4,2
5181,10.9,-1111.1,1.4,38.6,2
21748,10.3,-1111.1,5.1,36.8,2
6135,10.8,-1111.1,1.7,16.3,1
46367,12.9,-1111.1,10.2,56.1,1
131524,7.8,-1111.1,24.6,44.9,2
18191,17.6,-1111.1,4.2,71.5,1
80680,14.6,-1111.1,14.8,59.5,1
12047,13.5,-1111.1,2.7,33.2,2
17541,12.6,-1111.1,3.6,51.3,2
14728,8.5,-1111.1,3.3,20.4,2
16494,13.7,-1111.1,4,30.3,1
14671,14.9,-1111.1,3.3,40.9,1
59153,11.3,-1111.1,15.7,52.4,1
681097,6.5,79.2,154.9,45.7,1
64628,18.5,-1111.1,14.3,75.8,1
300252,13.8,78.6,81.2,88.6,1
38503,5.9,-1111.1,7.6,54.5,2
33985,12.7,-1111.1,7.4,38.3,2
350523,11.5,74,92.3,70.8,1
75360,10.6,-1111.1,18.4,87.6,1
8769,10.4,-1111.1,2.7,22.8,2
13093,13.9,-1111.1,2.5,61.1,2
55027,6.4,-1111.1,12.9,165.4,2
14550,10.5,-1111.1,4.8,27.5,2
19864,8.5,-1111.1,5.3,40.3,2
39123,11.4,-1111.1,10.8,58.8,1
106673,10.8,76,24.2,66.6,1
26703,11.8,-1111.1,6.1,41.2,2
34069,14.5,-1111.1,9.8,44,1
10624,17.1,-1111.1,3.2,0,2
30147,14.6,-1111.1,8.8,29.9,2
49985,8.1,-1111.1,10.9,54,2
24998,12.3,-1111.1,5.3,40,2
41884,10.3,-1111.1,8.6,62.1,2
114685,17.2,74.5,28,116,1
41449,7.5,-1111.1,10.2,89.3,2
199137,12.6,75,57.9,52.7,1
24265,15.2,-1111.1,5,41.2,2
73780,11.4,-1111.1,13.8,82.7,2
17041,11.5,-1111.1,3.6,23.5,2
23343,10.3,-1111.1,5.4,77.1,2
20319,12.2,-1111.1,5,44.3,2
32666,11.9,-1111.1,6.6,39.8,2
68609,17.8,82.5,13.2,51,1
32577,13.7,-1111.1,7.3,27.6,2
269785,4.2,77.7,51.8,147.2,1
67282,5.7,87.9,15.4,71.3,2
37067,9.7,-1111.1,8.4,56.7,2
137240,5.2,86.1,30.7,67,2
47162,12.3,-1111.1,9.3,50.9,2
83381,13.3,-1111.1,14.8,69.6,1
37570,10.8,-1111.1,8.1,63.9,2
42193,10.5,-1111.1,11,64,1
32544,8.9,-1111.1,8.1,58.4,2
21412,14.3,-1111.1,5.1,42,2
32820,13.2,-1111.1,7.9,85.3,2
28040,12.3,-1111.1,5.8,21.4,2
139158,7.4,87.9,27.8,81.9,1
38057,16.6,-1111.1,8.6,70.9,2
76275,9,-1111.1,22.5,39.3,2
37172,10.2,-1111.1,10.3,29.6,2
493800,16.7,73.3,124.5,69.5,1
110888,12.7,72.6,25,55.9,1
45913,14.3,-1111.1,10.3,50.1,2
131501,14.6,78,26.9,60.1,1
880380,16.5,76.3,215.6,126.8,1
46709,9.6,-1111.1,13.8,64.2,2
9969,12.9,-1111.1,2.3,30.1,2
36219,14.2,-1111.1,6.9,33.1,1
128992,20.7,72.3,50,82.2,2
37805,11.5,-1111.1,8.1,58.2,2
70668,10.6,-1111.1,16.2,46.7,2
13933,9.7,-1111.1,4,14.4,2
47601,10,-1111.1,14.6,42,2
5773,9,-1111.1,1.4,0,2
19571,15.9,-1111.1,4.5,56.2,2
22375,13.4,-1111.1,6.1,17.9,2
17152,16.7,-1111.1,3.9,35,2
18929,11.9,-1111.1,3.5,63.4,2
12569,10.9,-1111.1,2.6,15.9,2
162181,8.7,82.4,47.2,61.7,1
26079,10.1,-1111.1,5.4,26.8,2
13712,12.9,-1111.1,3.4,43.8,2
37183,11.7,-1111.1,7.8,40.3,2
25801,13.5,-1111.1,6.1,34.9,2
27400,10.4,-1111.1,6.5,29.2,2
17297,10.9,-1111.1,4,28.9,2
266680,14.6,73.9,71.1,95.2,1
23627,16.4,-1111.1,5,50.8,2
44186,10.8,-1111.1,9.1,43,2
20111,9.3,-1111.1,5.5,34.8,2
23658,15.4,-1111.1,6,38,1
33368,9.2,-1111.1,8.3,48,2
21328,15.2,-1111.1,4.6,28.1,2
9696,16.3,-1111.1,2.5,0,2
164237,18.2,77.3,62.6,79.8,1
15923,8.7,-1111.1,3.3,69.1,1
7157,11.9,-1111.1,2,69.9,2
174729,16.9,83.9,34.4,107.6,1
16234,12.2,-1111.1,3.6,12.3,1
105968,19.7,-1111.1,23.6,118.9,2
32706,12,-1111.1,5.7,39.7,2
8547,8.8,-1111.1,2.4,23.4,2
57656,7.7,-1111.1,11.1,150.9,2
27949,13.9,-1111.1,6.7,42.9,2
67795,17.2,-1111.1,13.6,67.9,2
27964,8.6,-1111.1,5.6,71.5,2
23800,11.4,-1111.1,6.7,50.4,1
32667,7.5,-1111.1,7.7,39.8,2
7506,10,-1111.1,1.4,26.6,2
4040,11.2,-1111.1,0.8,74.3,2
14538,12.6,-1111.1,3.9,55,2
12850,18.1,-1111.1,2.2,62.3,1
6033,11.1,-1111.1,1.5,16.6,2
26532,8,82.2,4.4,7.5,2
128347,14.7,83,22.8,95.8,1
26349,9.9,80.3,4.1,38,2
23690,7.1,83.7,3.4,54.9,2
21032,10,-1111.1,3.7,33.3,2
19702,12.3,86,4.9,45.7,1
14644,9.3,-1111.1,3,20.5,1
9887,13.2,-1111.1,1.9,40.5,2
20926,9.1,-1111.1,3.2,62.1,2
13840,13.9,-1111.1,2.1,57.8,2
18079,7.4,87.4,2.9,11.1,2
43786,13.1,85.7,6.3,125.6,2
11552,8.6,-1111.1,1.9,43.3,2
12121,10.4,-1111.1,2.3,33,2
9032,11.2,-1111.1,1.8,22.1,2
16691,10.8,86.6,3,59.9,2
17566,10.8,-1111.1,4,45.5,2
48942,12,84.2,6.7,57.2,1
16415,12.3,-1111.1,4.1,36.6,2
59930,6.6,83.6,10,13.3,2
8569,14.1,-1111.1,2.5,11.7,2
8409,21.7,-1111.1,1.8,23.8,1
17301,9.5,-1111.1,3.4,28.9,2
40629,14.7,77.8,5.4,61.5,1
16775,7.9,76.5,2.7,35.8,2
92724,10.6,87.8,13.8,89.5,1
10457,12.1,-1111.1,1.9,66.9,2
20273,14.2,-1111.1,3.4,19.7,2
16183,12,-1111.1,2.6,37.1,2
10477,10.3,-1111.1,2.4,9.5,2
7446,10.9,-1111.1,1.5,26.9,2
9293,10.7,-1111.1,1.5,43,2
12183,6.4,-1111.1,2.3,24.6,2
10956,9.4,-1111.1,2.4,27.4,2
15357,8.8,-1111.1,2.3,26,2
11354,8.6,-1111.1,2.1,44,2
17371,11.9,-1111.1,3.3,51.8,2
15222,10.8,-1111.1,2.4,32.8,2
20213,12.1,90.1,2.4,39.6,2
9484,11.1,-1111.1,1.6,84.4,2
9514,10.5,-1111.1,1.5,21,2
6862,10.2,-1111.1,1.5,14.6,2
15877,7.9,-1111.1,2.8,50.4,2
19965,12.5,-1111.1,3.8,40.1,2
36583,10.4,76.4,4.8,30.1,2
15463,14.3,-1111.1,3.6,45.3,2
128094,15.7,84.8,29.5,274,1
20346,11.6,-1111.1,4,29.5,2
10697,12.7,-1111.1,2.4,9.3,1
15463,11.1,-1111.1,2.9,38.8,2
35408,14.6,70.7,5.2,62.1,1
208574,9.3,79.9,38.4,67.6,2
11725,11.2,-1111.1,3.1,8.5,1
9290,15,-1111.1,1.3,21.5,1
11234,7.9,-1111.1,2.5,17.8,2
15507,8.1,-1111.1,2.7,6.4,2
22321,12.9,-1111.1,3.2,62.7,2
32571,8.4,75.3,4.2,58.3,2
39523,12.9,72.9,6.5,63.3,1
15113,9.6,-1111.1,2.3,66.2,2
10710,9.4,-1111.1,1.9,9.3,2
8966,13.8,-1111.1,1.5,33.5,2
7577,13.4,-1111.1,1.2,26.4,1
10870,14.2,-1111.1,1.5,55.2,2
42504,11.9,84.7,7.2,54.1,2
13952,9,-1111.1,2.3,50.2,2
6444,8.8,-1111.1,1.2,31,2
15664,14.7,-1111.1,2,63.8,2
9345,11.4,-1111.1,1.6,21.4,2
24323,7.3,-1111.1,3.8,41.1,2
7560,10.8,-1111.1,1.6,39.7,2
424778,9.9,81.1,71.6,73.5,1
89647,11.6,79.3,19.7,48,1
18590,10.8,-1111.1,2.8,86.1,2
5156,16.5,-1111.1,1.2,19.4,1
10311,11.1,-1111.1,2.4,38.8,2
164690,11.8,83,30.1,71.6,1
12131,9.4,-1111.1,2,49.5,2
32200,7.5,-1111.1,6.6,59,2
86754,17.8,84.8,23.7,72.6,2
17690,10.7,82.6,3.5,17,2
6298,14.4,-1111.1,1.5,0,2
12261,13.8,-1111.1,1.8,40.8,2
7676,14.3,-1111.1,1.6,26.1,2
35513,15.2,-1111.1,5.7,81.7,1
45059,6.8,74.3,6.9,22.2,2
21343,9.2,-1111.1,4,60.9,2
6253,16.3,-1111.1,1.4,48,1
38517,13.7,76.3,5.8,49.3,1
10901,10.2,-1111.1,1.5,36.7,2
20913,10.6,-1111.1,3.7,66.9,2
102559,14.2,75.1,20.3,59.5,1
7661,9.1,-1111.1,1.6,13.1,2
12903,10.2,-1111.1,2.4,46.5,2
13319,15.2,-1111.1,2.6,15,1
7984,13.7,-1111.1,1.8,37.6,2
16481,13.6,-1111.1,3.1,60.7,2
4674,11.5,-1111.1,1.4,21.4,2
27703,14.6,87.4,7.5,68.6,1
14851,15.6,-1111.1,2.9,67.3,2
10009,15.7,-1111.1,2.3,109.9,2
63562,8.7,81.9,13.1,56.6,2
2804,12.3,-1111.1,0.9,0,1
3768,14.4,-1111.1,1,0,2
21082,16.6,-1111.1,4.1,19,1
2742,10.4,-1111.1,1.2,72.9,2
2108,12.4,-1111.1,0.7,47.4,2
8859,11.1,-1111.1,1.9,90.3,2
9453,13.6,-1111.1,1.8,21.2,2
8409,10.1,-1111.1,1.7,23.8,2
1950,10.4,-1111.1,0.6,0,2
34065,15.9,72.6,7.3,58.7,2
38868,18.3,72.1,9.3,54,1
2912,12.5,-1111.1,0.9,137.4,2
19328,9.3,-1111.1,4.3,56.9,2
7753,12.4,-1111.1,1.8,25.8,2
114748,17.8,78.9,37.3,68.8,2
3082,11.7,-1111.1,1.1,32.4,2
3047,16,-1111.1,0.9,32.8,2
27801,11.2,88.1,7.5,54,2
6250,10.5,-1111.1,1.2,32,2
40998,13.9,-1111.1,13.2,36.6,1
33293,13.5,-1111.1,11.8,81.1,1
26562,9.8,-1111.1,5,33.9,2
31171,10.5,-1111.1,6.9,38.5,1
2548,9.9,-1111.1,0.9,157,2
2592,11.2,-1111.1,0.8,77.2,2
7395,9.8,-1111.1,2.4,40.6,1
5688,8.8,-1111.1,2.5,17.6,2
1266,10.2,-1111.1,0.6,79,2
6861,15.5,-1111.1,1.5,29.2,2
2631,12.2,-1111.1,1.2,0,2
5857,13.4,-1111.1,1.6,51.2,2
33675,9.7,84.6,7,95,1
3919,10,-1111.1,1.8,51,2
1948,9.6,-1111.1,0.6,51.3,2
13240,10,-1111.1,2.8,52.9,2
18421,8.2,-1111.1,4.5,32.6,2
3142,12.6,-1111.1,1,0,2
534093,4.6,86.3,91.8,123.9,2
4159,11.2,-1111.1,1.6,48.1,2
7719,10.4,-1111.1,1.7,0,2
2541,12.7,-1111.1,0.8,0,2
21871,15.7,-1111.1,3.9,68.6,2
1743,8.5,-1111.1,0.6,57.4,2
74276,8.3,84.7,12,41.7,2
3261,10.7,-1111.1,1.2,30.7,2
9616,11.8,-1111.1,2.6,20.8,2
2593,9.7,-1111.1,0.9,77.1,2
35562,15.3,81.7,10.2,64.7,1
29044,8.6,86,5.3,79.2,2
12100,10.3,-1111.1,2.9,49.6,2
10178,10.5,-1111.1,2.5,49.1,2
4359,9.5,-1111.1,1.7,45.9,2
30989,7.5,-1111.1,5.8,48.4,2
6292,10.6,-1111.1,1.4,79.5,2
34395,12.4,69.2,6.4,46.5,2
6037,10.4,-1111.1,1.7,82.8,2
2978,9.9,-1111.1,1.1,67.2,2
10112,9.3,-1111.1,2.8,49.4,2
16223,14.4,-1111.1,3.2,49.3,2
2945,9.3,-1111.1,0.9,34,2
5370,12.3,-1111.1,1,55.9,2
16327,11.3,-1111.1,3.6,18.4,2
3804,12.4,-1111.1,1.1,0,2
6026,8.7,-1111.1,1.5,66.4,2
6291,12.5,-1111.1,1.3,47.7,2
5339,11.4,-1111.1,1.2,37.5,2
19695,8,-1111.1,4.4,45.7,2
9411,11,-1111.1,2.1,63.8,2
2503,12.7,-1111.1,0.7,79.9,2
63427,12.5,83.5,12.1,78.8,1
4812,11.8,-1111.1,1.3,103.9,2
10060,12.7,-1111.1,2.3,39.8,2
71069,19.8,81.1,24.4,78.8,1
5136,11.5,-1111.1,1.6,58.4,2
3232,10.9,-1111.1,0.8,30.9,2
6641,12.8,-1111.1,1.6,30.1,2
54657,11.3,80.8,11.3,86,1
4577,7.7,-1111.1,1.1,87.4,2
482863,12.3,80.5,111.6,96.9,1
23016,13.4,-1111.1,8.4,60.8,1
174709,12.2,84.3,30.9,71.5,1
2510,11.2,-1111.1,0.9,79.7,2
6013,13.9,-1111.1,1.4,66.5,2
3901,11.9,-1111.1,1.1,51.3,2
4326,12.3,-1111.1,1.5,23.1,2
2148,11.4,-1111.1,0.9,46.6,2
5056,9.1,-1111.1,1.8,19.8,2
23616,11.5,78.7,5.1,25.4,2
7277,10.1,-1111.1,1.9,41.2,2
2882,10.7,-1111.1,0.8,104.1,2
6922,8.2,-1111.1,1.6,28.9,2
1404,13.1,-1111.1,0.5,0,2
5791,9.4,-1111.1,1.9,34.5,2
2148,11.9,-1111.1,0.9,46.6,2
9698,12.7,-1111.1,1.8,61.9,2
3285,16.6,-1111.1,1,30.4,2
154287,19.2,77.3,42.7,90.7,1
17773,23.4,-1111.1,5.2,61.9,1
19090,19.2,-1111.1,5.1,21,2
21347,9.7,-1111.1,5.2,23.4,2
8323,15.2,-1111.1,2.7,24,2
41566,17.8,-1111.1,11.3,115.5,2
11750,26.7,-1111.1,3.1,25.5,2
29055,31.3,-1111.1,6,89.5,2
115231,6.1,77.9,27.3,78.1,2
19828,14.3,-1111.1,5.9,75.7,2
48560,18,64.7,11.3,129.7,2
28933,15.8,-1111.1,6.8,114.1,2
8569,13.7,-1111.1,2.4,46.7,1
15813,31.5,-1111.1,3.3,75.9,1
19132,18.9,-1111.1,7,41.8,2
75028,9.4,-1111.1,20.2,21.3,2
13276,19.2,-1111.1,4.2,22.6,1
12866,16.8,-1111.1,3.5,46.6,2
36240,18.2,80.4,13.6,71.7,2
87038,11.5,69.1,19.3,72.4,1
5162,15.5,-1111.1,2,19.4,2
10627,14.6,-1111.1,2.6,18.8,2
27454,20.8,-1111.1,6.6,29.1,2
16214,26.2,85,5.5,18.5,2
79820,20.6,-1111.1,21.4,50.1,2
35691,15.8,-1111.1,8.3,70,2
23930,38.3,-1111.1,5.2,41.8,1
9568,26.4,-1111.1,2.6,41.8,1
9244,18,-1111.1,2.7,32.5,2
6817,23.7,-1111.1,2,44,1
94418,13.6,81.3,23.1,67.8,2
12085,20.7,-1111.1,4.4,24.8,2
7280,29.8,-1111.1,1.9,0,2
14948,24.1,-1111.1,3.5,33.4,1
282114,15.4,88.9,90,169.1,1
14735,18.5,72,4.5,54.3,1
42094,28.1,79.4,10.4,90.3,1
48844,13.1,-1111.1,12.7,55.3,2
6855,30.1,-1111.1,1.4,160.5,2
8071,17,-1111.1,2.8,12.4,1
17021,16.6,-1111.1,5.3,35.3,2
25549,14.3,-1111.1,6.9,43.1,2
37487,20.5,79.7,12.1,40,2
25497,19.1,-1111.1,6.6,47.1,2
11613,20.7,-1111.1,4.2,34.4,2
37388,17,74.1,9.1,61.5,2
8663,13.2,-1111.1,2.3,0,2
98546,12.4,75.6,26.2,73.1,2
30783,33.9,-1111.1,7.4,55.2,1
18654,15.3,-1111.1,4.8,85.8,2
18561,21.7,-1111.1,4.9,37.7,2
45462,14.8,76.9,10.6,57.2,2
15741,16.4,-1111.1,5.5,31.8,2
4936,18,-1111.1,1.5,20.3,2
46338,18.5,74.2,12.3,142.4,2
13645,27.1,-1111.1,3.8,7.3,1
713877,14.6,86.6,166.2,133.8,1
46716,12.1,-1111.1,12.8,55.7,2
24056,26,-1111.1,6.7,62.4,2
157629,11,82.5,31.6,109.1,1
17385,30.2,-1111.1,4.7,28.8,2
32810,33.4,-1111.1,7,21.3,1
13722,17.3,-1111.1,4.2,14.6,2
57586,20.1,61.7,13.5,66,2
16443,27.1,-1111.1,4.2,36.5,2
7414,33.9,-1111.1,1.6,40.5,1
11639,30,-1111.1,3.2,34.4,2
23890,29.4,66,6.3,67,1
13807,26.4,-1111.1,4.3,21.7,1
25072,21,-1111.1,7.7,55.8,2
9591,13.6,-1111.1,2.9,52.1,2
27117,17.8,83.3,7.5,40.6,2
8245,16.4,-1111.1,2.3,24.3,2
65109,16.7,82.2,16.2,90.6,2
17315,35.4,-1111.1,5.2,23.1,2
9681,17.6,-1111.1,3,10.3,2
82192,16.2,-1111.1,24.4,62,1
13151,34.9,-1111.1,4,15.2,1
19063,19.7,-1111.1,5.8,57.7,2
31189,12.3,81,8.8,38.5,2
11602,35.3,-1111.1,2.9,43.1,1
17414,18.8,80.7,4.2,86.1,1
27043,12.7,-1111.1,9,14.8,2
6744,28,-1111.1,2.2,14.8,2
21920,15.4,-1111.1,6,27.4,2
10288,22.4,-1111.1,3.1,29.2,2
11547,23.5,-1111.1,4.2,43.3,2
25618,18.4,73.7,6.5,50.7,2
14156,28.3,69.1,3.5,35.3,2
31187,21.4,80.1,8.6,54.5,1
43113,12.7,-1111.1,12.1,44.1,2
6811,17.4,-1111.1,2.1,29.4,2
23789,19.1,-1111.1,6.3,29.4,2
56874,5.8,-1111.1,14.5,56.3,2
11432,16.9,-1111.1,3.8,26.2,2
4634,37.6,-1111.1,1.1,0,1
14992,15.2,-1111.1,5.2,13.3,2
29241,27.2,71.5,7.5,133.4,1
65331,25.1,74.4,18.3,79.6,1
13859,25.8,-1111.1,4,28.9,1
60851,24.3,78,15,92,2
2202,23,-1111.1,0.7,0,2
16788,26.9,-1111.1,4.3,59.6,2
22733,25.3,68.6,5.8,127.6,2
17296,23.5,-1111.1,5.4,63.6,1
44549,11.2,-1111.1,10.1,60.6,2
41157,11.5,-1111.1,14,43.7,2
17019,14.3,-1111.1,3.9,52.9,2
17382,8.8,-1111.1,5.5,57.5,1
24069,19,82,5.1,70.6,2
12173,18.2,-1111.1,4.6,16.4,2
13418,13.9,-1111.1,3.9,37.3,2
9012,14.8,-1111.1,2.7,22.2,2
15024,18.4,-1111.1,4.8,26.6,2
105862,17.1,83.3,36.2,86.9,1
11595,16.6,-1111.1,3.7,34.5,2
20696,28.1,-1111.1,5.2,33.8,2
13669,17.7,-1111.1,4.3,21.9,2
38668,27.2,-1111.1,8.3,82.8,1
6989,36.1,-1111.1,2.1,14.3,2
24526,9.7,-1111.1,7.2,81.5,2
60070,19.7,74.7,23.1,48.3,2
25635,20.7,-1111.1,7.7,42.9,2
101789,9.9,81.7,36.9,48.1,2
22881,19.3,-1111.1,8.3,26.2,2
42360,21.9,-1111.1,13.7,49.6,2
34978,14,-1111.1,15.3,57.2,2
14728,21,-1111.1,5.8,13.6,2
110250,13.6,77.1,47.6,60.8,1
252895,19.8,76.6,96.6,171.2,1
185618,15.4,76.8,79.2,84,1
10353,21.5,-1111.1,4.6,19.3,2
7238,12.7,-1111.1,5.2,0,2
10522,21.9,-1111.1,4.9,28.5,1
16142,28.7,-1111.1,5.5,37.2,1
19064,25.2,-1111.1,6.2,62.9,1
26388,18.1,-1111.1,11.5,22.7,2
428360,17.2,87.1,167.8,117.2,1
8166,43.7,-1111.1,1.8,36.7,2
20874,21.2,-1111.1,7.6,43.1,1
35624,22.7,-1111.1,11,61.8,1
20006,26.1,-1111.1,8.5,25,1
19974,17.3,-1111.1,9.4,20,2
75097,18.8,82.2,26.9,65.2,1
32545,21.6,-1111.1,9.4,58.4,1
15191,18.4,-1111.1,6,19.7,2
436181,12.9,79.6,169.1,134.1,1
31263,16.7,-1111.1,13.4,64,2
206976,14.7,82.9,86,136.7,1
92572,15.9,80.2,34.9,60.5,2
14062,16.2,-1111.1,5.4,64,2
42561,23.6,-1111.1,19.8,70.5,2
120256,11.4,79.2,53.3,15,1
11790,34.6,-1111.1,3.5,50.9,1
28602,25.2,-1111.1,8.9,52.4,1
39576,31.7,-1111.1,17.3,63.2,1
311853,22.9,80.3,108.5,166.1,1
150051,21.9,76.3,51.9,101.3,1
21276,15.1,-1111.1,8.8,14.1,2
22401,21,-1111.1,9,53.6,1
133131,18,74.3,44.5,100.7,1
9118,23.4,-1111.1,3.7,21.9,2
20501,24.2,-1111.1,6.9,82.9,2
23688,20.9,-1111.1,12,29.6,2
37722,20.3,88.4,14.8,18.6,2
51547,11.6,87.8,16.9,33,1
10546,19.8,-1111.1,5.3,28.4,1
21231,15.8,-1111.1,8,80.1,2
46994,14.7,86.7,19.4,46.8,1
92173,25.6,76.2,31.3,74.9,1
52097,19.5,83.1,22.3,23,1
51083,18.5,-1111.1,17.7,74.4,1
228456,10,82.4,99.6,95.9,1
117001,22.2,73.4,45.5,61.5,1
5694,32.4,-1111.1,2.5,0,1
108576,15.8,77.2,41.9,54.3,1
22692,18.3,-1111.1,11,22,2
56096,17.9,71.6,25.8,32.1,1
45639,15.4,83.8,24.7,48.2,1
45430,24.1,84.4,15.4,37.4,2
40754,17.9,-1111.1,14.2,66.3,1
22553,16.1,-1111.1,8.1,26.6,1
11495,23.7,-1111.1,4.9,8.7,2
15003,21.9,-1111.1,4.2,33.3,1
15408,23.9,-1111.1,5.1,38.9,1
106877,13.1,83.3,15.5,95.4,1
71676,15.2,83.6,15.7,86.5,1
276047,10.4,85.4,44.1,170.3,1
29857,17.5,83,6.1,110.5,1
53137,10.8,84.9,13.6,128,1
120959,11.8,86.3,19.2,110,1
40686,13.4,80.7,8,93.4,1
34628,10.9,85,9.6,112.6,1
56741,14.1,88.4,9.6,49.3,1
148651,15.9,87.2,32.1,100.2,1
16961,16.2,80.6,4,106.1,1
36332,9.8,80.1,6.3,57.8,1
51377,18.7,77.7,11.7,58.4,1
38342,12.6,80.6,7.9,73,2
32499,20.1,78.2,7.6,95.4,1
201686,9.4,83.3,33.6,58.5,1
72238,15.3,84.8,16.9,76.1,1
512790,5,85.4,115.2,85,1
785618,7.9,86.4,193.3,147.9,1
88698,5.6,86.9,18.3,56.4,2
33138,10.8,88.9,10,30.2,1
169353,5.6,88.1,33.3,65,2
99926,7.2,85.2,19.9,34,1
140764,6.2,86.2,29.4,44.8,1
31998,14.3,87.7,8.1,62.5,1
225721,5.4,80.6,49.2,64.7,1
29698,15,-1111.1,9.3,43.8,1
240351,5.7,80.7,49.7,74.5,1
274995,4.3,89.4,68.8,210.9,1
20151,12,-1111.1,5.9,114.1,1
950680,5.8,84.7,276.1,187.7,1
820852,6.7,83.1,334.8,78.7,1
47091,6.3,82.6,11.5,36.1,1
101578,7.4,79.9,23.6,45.3,1
26119,23.1,-1111.1,5.5,53.6,1
36215,8.3,92.8,9.8,129.8,1
145384,9.4,81.9,33.9,67.4,1
94046,12.8,83.1,27.2,95.7,1
49274,10.5,82.1,14.4,58.9,1
636919,19.2,81.2,154.2,189.7,1
221049,8.1,87.6,29.9,98.6,1
129395,12.5,80.8,17.3,132.2,1
545823,11.6,84,83,56.8,1
15527,7.4,-1111.1,4.1,135.2,2
736457,9.4,85.9,129.1,85.8,1
71735,12.1,83.6,10.6,66.9,1
460840,15.4,83.4,75.2,81.4,1
154983,10.9,89.1,23.3,162.6,1
1482478,8.1,88.5,257.2,158.5,1
11215,6.2,-1111.1,2.7,44.6,2
659909,6.1,87.4,85.3,162,1
492066,7.1,86.8,66.7,67.7,1
732684,18,85.7,162.8,252.8,1
783806,8.4,84.2,107.2,128.9,1
11556,15.5,-1111.1,2.7,34.6,1
9438,13.5,-1111.1,2.1,95.4,2
112975,11.5,89.9,21.6,27.4,1
29520,16.5,-1111.1,5,67.8,1
24109,12.9,-1111.1,5.9,24.9,1
16361,18.2,-1111.1,3.3,30.6,1
8528,16.1,-1111.1,1.8,70.4,2
58890,8.8,-1111.1,10.4,44.2,2
107495,12.8,-1111.1,19.5,43.7,1
17396,10.3,-1111.1,4.7,28.7,2
159481,17.5,78.5,38.6,77.8,1
45726,14.8,-1111.1,9.2,41.6,2
135861,16.2,-1111.1,22.7,61.8,1
50185,13.9,-1111.1,8.9,10,1
25936,11.2,-1111.1,5.3,88.7,1
26354,18.2,-1111.1,5.7,45.5,2
38971,18,-1111.1,7.4,53.9,1
30312,19.1,-1111.1,5.8,36.3,2
69726,8,-1111.1,14,27.2,2
14463,17.8,-1111.1,2.5,55.3,2
37179,13.8,-1111.1,7.1,61.9,2
26812,12.1,-1111.1,4.5,93.2,2
106781,8.7,91,19.2,37.5,2
33535,10,-1111.1,7.5,128.2,1
428790,16.6,82.9,106.9,104.9,1
25920,17.8,-1111.1,5.6,27,2
16043,19.2,-1111.1,3.4,93.5,2
86071,9.5,91.3,17,126.6,2
42245,15.2,-1111.1,7.1,59.2,1
46212,15.1,-1111.1,8.3,43.3,2
35174,20.2,-1111.1,10.1,96.7,2
32805,13.1,-1111.1,6.9,42.7,2
277528,18.1,81.1,77.7,105.2,1
63833,14,-1111.1,9.9,20.4,1
25932,17.6,-1111.1,4.4,38.6,1
12001,15.4,-1111.1,2.3,58.3,1
66778,29.4,-1111.1,22.6,40.4,2
160180,13.2,85.6,30.1,41.8,1
245912,15.9,77,62.4,112.6,1
17066,15,-1111.1,3.3,17.6,2
605213,14.6,83.3,130.1,99.1,1
2202,14.7,-1111.1,0.7,0,2
11014,20.1,-1111.1,2.7,9.1,1
90875,10.1,-1111.1,18.5,19.8,1
21783,8.5,-1111.1,6.4,23,1
100801,13.1,84.3,18.1,37.7,1
182575,6.5,-1111.1,31.7,38.9,2
6614,20.3,-1111.1,1.1,90.7,2
