provider_id,measure_id,score,unweighed_patient_experience_of_care_domain_score
60020,MSPB_1,0.94,38
60022,MSPB_1,1.03,24
60023,MSPB_1,0.99,33
60024,MSPB_1,0.96,56
60027,MSPB_1,0.96,44
60028,MSPB_1,0.94,52
60030,MSPB_1,0.96,68
60031,MSPB_1,1.01,43
60032,MSPB_1,0.97,42
60034,MSPB_1,1.02,31
60036,MSPB_1,0.87,17
60044,MSPB_1,0.96,73
60049,MSPB_1,0.92,82
60054,MSPB_1,0.92,41
60064,MSPB_1,0.97,47
60065,MSPB_1,0.99,27
60071,MSPB_1,0.91,44
60076,MSPB_1,0.94,71
60100,MSPB_1,1.05,34
60103,MSPB_1,0.95,77
60104,MSPB_1,0.97,32
60112,MSPB_1,0.98,46
60113,MSPB_1,1.03,45
60114,MSPB_1,1,52
60116,MSPB_1,0.95,45
60119,MSPB_1,1.05,73
70002,MSPB_1,1.04,35
70003,MSPB_1,1.06,37
70004,MSPB_1,0.95,40
70005,MSPB_1,1.03,24
50030,MSPB_1,0.85,31
50036,MSPB_1,1.04,15
50038,MSPB_1,0.96,44
50039,MSPB_1,0.96,42
50040,MSPB_1,0.82,13
50042,MSPB_1,0.87,36
50043,MSPB_1,1.01,8
50045,MSPB_1,0.92,19
50047,MSPB_1,0.9,25
50054,MSPB_1,0.96,19
50055,MSPB_1,0.9,33
50056,MSPB_1,1.05,31
50057,MSPB_1,0.95,21
50058,MSPB_1,1.05,15
50060,MSPB_1,0.99,30
50063,MSPB_1,1.1,23
50067,MSPB_1,0.92,26
50069,MSPB_1,1.01,32
50077,MSPB_1,1.05,22
50078,MSPB_1,0.97,33
50079,MSPB_1,0.98,8
50082,MSPB_1,1.02,27
50084,MSPB_1,1.01,25
50089,MSPB_1,1.06,26
50090,MSPB_1,0.89,51
50091,MSPB_1,1.01,43
50093,MSPB_1,1,22
50099,MSPB_1,1.04,26
50100,MSPB_1,0.99,62
50101,MSPB_1,0.99,15
50102,MSPB_1,1.12,26
50103,MSPB_1,1.04,45
50104,MSPB_1,1.09,12
50107,MSPB_1,0.93,43
50108,MSPB_1,0.94,33
50110,MSPB_1,0.93,29
50112,MSPB_1,1.02,31
50115,MSPB_1,1,24
50116,MSPB_1,1.03,16
50118,MSPB_1,0.99,47
50121,MSPB_1,0.95,26
50122,MSPB_1,1.04,42
50124,MSPB_1,1.1,49
50125,MSPB_1,0.97,22
50126,MSPB_1,1.08,11
50127,MSPB_1,1,51
50128,MSPB_1,1.01,25
50129,MSPB_1,1.05,28
50131,MSPB_1,0.98,48
50132,MSPB_1,1.18,18
50133,MSPB_1,0.89,11
50136,MSPB_1,0.92,33
50145,MSPB_1,0.95,63
50149,MSPB_1,0.95,17
50150,MSPB_1,0.96,26
50152,MSPB_1,1.03,12
50153,MSPB_1,1.01,40
50159,MSPB_1,0.98,17
50167,MSPB_1,0.95,31
50168,MSPB_1,1.03,38
50169,MSPB_1,0.98,46
50174,MSPB_1,0.96,29
50179,MSPB_1,0.98,14
50180,MSPB_1,1.02,46
50189,MSPB_1,0.86,37
50191,MSPB_1,1.13,27
50194,MSPB_1,0.96,38
50195,MSPB_1,0.97,27
50197,MSPB_1,0.95,20
50204,MSPB_1,0.95,42
50211,MSPB_1,1.03,16
50222,MSPB_1,0.97,39
50224,MSPB_1,1.02,41
50225,MSPB_1,0.9,25
50226,MSPB_1,1.1,31
50228,MSPB_1,0.91,13
50230,MSPB_1,1.11,18
50231,MSPB_1,1.06,15
50232,MSPB_1,0.95,49
50234,MSPB_1,0.82,86
50235,MSPB_1,1.04,33
50236,MSPB_1,1.03,43
50238,MSPB_1,1.02,24
50239,MSPB_1,1.05,38
50242,MSPB_1,0.99,16
50243,MSPB_1,1,24
50245,MSPB_1,1.02,24
50248,MSPB_1,1.01,24
50254,MSPB_1,0.9,39
50261,MSPB_1,0.91,51
50262,MSPB_1,0.98,53
50272,MSPB_1,0.92,51
50276,MSPB_1,0.9,25
50277,MSPB_1,1.17,44
50278,MSPB_1,1.02,34
50279,MSPB_1,0.88,25
50280,MSPB_1,0.97,27
50281,MSPB_1,1.22,13
50283,MSPB_1,0.97,46
50289,MSPB_1,1,28
50290,MSPB_1,0.97,32
50291,MSPB_1,0.95,25
50292,MSPB_1,0.93,10
50295,MSPB_1,1.04,14
50296,MSPB_1,0.93,40
50298,MSPB_1,0.88,41
50300,MSPB_1,0.94,9
50301,MSPB_1,0.88,34
50305,MSPB_1,1.02,14
50308,MSPB_1,0.99,29
50309,MSPB_1,0.96,38
50313,MSPB_1,0.94,47
50320,MSPB_1,1.07,14
50324,MSPB_1,1.02,46
50327,MSPB_1,0.97,27
50329,MSPB_1,1.08,28
50334,MSPB_1,1,14
50335,MSPB_1,0.84,66
50336,MSPB_1,1.05,25
50342,MSPB_1,0.96,25
50348,MSPB_1,0.99,41
50350,MSPB_1,1.1,28
50351,MSPB_1,0.95,32
50352,MSPB_1,0.84,53
50353,MSPB_1,1,33
50359,MSPB_1,0.93,20
50360,MSPB_1,1.01,19
50367,MSPB_1,0.98,24
50373,MSPB_1,0.96,20
50378,MSPB_1,1.07,26
50380,MSPB_1,1.03,11
50382,MSPB_1,1.09,26
50385,MSPB_1,0.91,46
50390,MSPB_1,1.04,8
50393,MSPB_1,1.09,11
50394,MSPB_1,0.96,30
50396,MSPB_1,0.98,51
50407,MSPB_1,0.95,21
50414,MSPB_1,0.88,48
50417,MSPB_1,0.85,53
50423,MSPB_1,0.91,33
50424,MSPB_1,0.94,63
50426,MSPB_1,1.08,18
50435,MSPB_1,0.92,30
50438,MSPB_1,0.98,47
50441,MSPB_1,0.99,51
50444,MSPB_1,0.93,21
50454,MSPB_1,0.98,38
50455,MSPB_1,1.01,24
50457,MSPB_1,0.95,16
50464,MSPB_1,0.96,27
50468,MSPB_1,1.31,18
50471,MSPB_1,1,26
50481,MSPB_1,1.07,13
50485,MSPB_1,1.03,26
50488,MSPB_1,1.04,18
50492,MSPB_1,0.99,29
50496,MSPB_1,0.98,37
50498,MSPB_1,0.95,54
50502,MSPB_1,1.03,43
50503,MSPB_1,1.01,35
50506,MSPB_1,0.98,47
50516,MSPB_1,0.94,28
50523,MSPB_1,0.95,14
50526,MSPB_1,1.21,11
50528,MSPB_1,0.91,64
50534,MSPB_1,0.98,23
50537,MSPB_1,0.92,81
50549,MSPB_1,1,23
50551,MSPB_1,1.09,19
50557,MSPB_1,0.97,42
50567,MSPB_1,0.98,28
50568,MSPB_1,1.05,40
50570,MSPB_1,1.06,18
50573,MSPB_1,0.96,38
50575,MSPB_1,1.32,31
50580,MSPB_1,1.17,23
50581,MSPB_1,1.15,36
50586,MSPB_1,0.9,45
50588,MSPB_1,1.19,15
50589,MSPB_1,1.07,34
50590,MSPB_1,0.87,44
50597,MSPB_1,1.08,38
50599,MSPB_1,0.95,18
50603,MSPB_1,0.98,36
50608,MSPB_1,0.88,25
50616,MSPB_1,1.06,42
50624,MSPB_1,1.01,31
50625,MSPB_1,1.04,40
50633,MSPB_1,0.95,56
50636,MSPB_1,0.95,27
50641,MSPB_1,1.05,17
50663,MSPB_1,1.36,23
50678,MSPB_1,1.02,37
50684,MSPB_1,1.03,36
50688,MSPB_1,0.97,18
50689,MSPB_1,1.02,30
50696,MSPB_1,0.97,47
100260,MSPB_1,1.07,31
100264,MSPB_1,1.02,17
100265,MSPB_1,1.08,41
100266,MSPB_1,0.99,68
100267,MSPB_1,0.96,30
100268,MSPB_1,1.15,13
100269,MSPB_1,1.05,14
100275,MSPB_1,1.1,23
100276,MSPB_1,1.05,21
100281,MSPB_1,1.06,40
100284,MSPB_1,1.08,31
100285,MSPB_1,1,62
100286,MSPB_1,0.98,30
100287,MSPB_1,1.05,22
100288,MSPB_1,1.11,38
100289,MSPB_1,0.99,31
100290,MSPB_1,1.01,11
100291,MSPB_1,1.11,6
100292,MSPB_1,0.98,87
100296,MSPB_1,1.03,48
100299,MSPB_1,1.06,25
100302,MSPB_1,1.02,14
100307,MSPB_1,1.01,35
100314,MSPB_1,1,87
100315,MSPB_1,1.01,65
100316,MSPB_1,1.08,35
110001,MSPB_1,0.91,35
110002,MSPB_1,0.96,76
110003,MSPB_1,0.99,59
110004,MSPB_1,0.9,27
110005,MSPB_1,1.01,45
110006,MSPB_1,0.98,52
110007,MSPB_1,0.97,37
110008,MSPB_1,1.02,22
110010,MSPB_1,0.96,65
110011,MSPB_1,1.01,84
110015,MSPB_1,0.92,73
110016,MSPB_1,0.94,58
110018,MSPB_1,1,30
110023,MSPB_1,0.89,69
110024,MSPB_1,1.02,23
110025,MSPB_1,0.94,21
110026,MSPB_1,0.87,63
110027,MSPB_1,0.97,67
110028,MSPB_1,0.97,32
110029,MSPB_1,0.91,53
110030,MSPB_1,0.95,13
110031,MSPB_1,1.02,22
110032,MSPB_1,0.94,56
110034,MSPB_1,1.01,21
110035,MSPB_1,0.97,38
110036,MSPB_1,0.94,44
110038,MSPB_1,0.99,59
110039,MSPB_1,1.01,47
110040,MSPB_1,0.95,15
110041,MSPB_1,0.96,50
110042,MSPB_1,0.86,47
110043,MSPB_1,0.97,33
110044,MSPB_1,0.89,62
110045,MSPB_1,0.9,11
110046,MSPB_1,0.98,19
110051,MSPB_1,0.85,54
110054,MSPB_1,0.98,42
110064,MSPB_1,1.04,22
110069,MSPB_1,0.98,55
110074,MSPB_1,0.94,44
110075,MSPB_1,0.99,28
110076,MSPB_1,1.04,23
70006,MSPB_1,1.04,40
70007,MSPB_1,1.05,34
70008,MSPB_1,1.01,25
70010,MSPB_1,1.04,42
70011,MSPB_1,1.02,37
70012,MSPB_1,1,43
70015,MSPB_1,1.02,36
70016,MSPB_1,1.05,20
70017,MSPB_1,1,55
70018,MSPB_1,0.98,50
70019,MSPB_1,1.05,41
70020,MSPB_1,0.99,53
70021,MSPB_1,0.96,24
70022,MSPB_1,1.03,41
70024,MSPB_1,1.04,37
70025,MSPB_1,1,40
70027,MSPB_1,0.99,21
70028,MSPB_1,1.09,23
70029,MSPB_1,1.11,46
70031,MSPB_1,1.04,39
70033,MSPB_1,1.03,24
70034,MSPB_1,1.02,22
70035,MSPB_1,0.96,24
70036,MSPB_1,0.99,38
80001,MSPB_1,1,44
80003,MSPB_1,1.06,30
80004,MSPB_1,1.03,29
80006,MSPB_1,1.02,40
80007,MSPB_1,0.98,61
80009,MSPB_1,0.98,19
90001,MSPB_1,0.98,17
90003,MSPB_1,0.93,18
90004,MSPB_1,1.01,20
90005,MSPB_1,0.96,29
90006,MSPB_1,1,22
90008,MSPB_1,1.06,7
90011,MSPB_1,0.97,16
100001,MSPB_1,1.01,45
100002,MSPB_1,1.12,20
100006,MSPB_1,1.02,48
100007,MSPB_1,1.03,57
100008,MSPB_1,1.01,52
100009,MSPB_1,1.07,35
100012,MSPB_1,1,26
100014,MSPB_1,0.97,55
100017,MSPB_1,1.02,44
100019,MSPB_1,1.07,26
100022,MSPB_1,1.03,15
100023,MSPB_1,1.03,14
100025,MSPB_1,1.01,52
100026,MSPB_1,1.05,27
100028,MSPB_1,1.02,37
100029,MSPB_1,1.14,12
100030,MSPB_1,1.06,30
100032,MSPB_1,1.1,29
100034,MSPB_1,1.09,29
100035,MSPB_1,1.09,21
100038,MSPB_1,1.05,57
100039,MSPB_1,1.03,17
100040,MSPB_1,1.02,34
100043,MSPB_1,1.09,38
100044,MSPB_1,1.05,20
100045,MSPB_1,1.04,20
100046,MSPB_1,0.99,17
100047,MSPB_1,1.01,14
100049,MSPB_1,1.04,15
100050,MSPB_1,1.09,43
100051,MSPB_1,0.97,28
100052,MSPB_1,1.1,21
100053,MSPB_1,1.09,15
100054,MSPB_1,0.94,54
100055,MSPB_1,1.05,16
100057,MSPB_1,1,27
100062,MSPB_1,1.05,34
100063,MSPB_1,1.12,36
100067,MSPB_1,1.06,43
100068,MSPB_1,1.02,48
100069,MSPB_1,1.06,35
100070,MSPB_1,1.05,23
100071,MSPB_1,1.04,12
100072,MSPB_1,1.05,41
100073,MSPB_1,1.06,22
100075,MSPB_1,1.07,43
100076,MSPB_1,1.08,16
100077,MSPB_1,1.05,15
100080,MSPB_1,1.09,15
100081,MSPB_1,1.03,81
100084,MSPB_1,1.01,9
100086,MSPB_1,1.04,43
100087,MSPB_1,1.06,41
100088,MSPB_1,1.09,31
100090,MSPB_1,1.03,31
100092,MSPB_1,1.06,10
100093,MSPB_1,1.02,55
100099,MSPB_1,1.05,25
100102,MSPB_1,1.04,10
100105,MSPB_1,1.04,20
100106,MSPB_1,0.95,49
100107,MSPB_1,1.07,8
100109,MSPB_1,1.05,45
100110,MSPB_1,1.05,16
100113,MSPB_1,1,38
100117,MSPB_1,1.09,35
100118,MSPB_1,1.01,27
100121,MSPB_1,0.99,17
100122,MSPB_1,1,44
100124,MSPB_1,0.97,30
100125,MSPB_1,1.01,78
100126,MSPB_1,1.15,39
100127,MSPB_1,1.05,37
100128,MSPB_1,1.01,41
100130,MSPB_1,0.92,35
100131,MSPB_1,1.08,25
100132,MSPB_1,1.05,45
100135,MSPB_1,1.03,37
100137,MSPB_1,1.02,10
100140,MSPB_1,0.96,49
100142,MSPB_1,1.01,61
100150,MSPB_1,0.94,31
100151,MSPB_1,0.97,69
100154,MSPB_1,1.03,73
100156,MSPB_1,1.04,52
100157,MSPB_1,1.01,25
100161,MSPB_1,1.02,21
100166,MSPB_1,1.08,38
100167,MSPB_1,1.08,35
100168,MSPB_1,1.05,29
100173,MSPB_1,1.08,14
100175,MSPB_1,0.96,35
100176,MSPB_1,1.05,19
100177,MSPB_1,1,48
100179,MSPB_1,1.11,19
100180,MSPB_1,1.07,48
100183,MSPB_1,1.11,35
100187,MSPB_1,1.1,28
100189,MSPB_1,1.1,13
100191,MSPB_1,1.07,27
100200,MSPB_1,1.09,36
100204,MSPB_1,1.01,19
100206,MSPB_1,1.07,33
100209,MSPB_1,1.04,26
100211,MSPB_1,1.01,14
100212,MSPB_1,1.04,23
100213,MSPB_1,1.08,15
100217,MSPB_1,0.99,25
100220,MSPB_1,1.04,33
100223,MSPB_1,1.02,24
100224,MSPB_1,1.1,16
100226,MSPB_1,1.08,22
100228,MSPB_1,1.09,17
100230,MSPB_1,0.96,44
100231,MSPB_1,1,40
100232,MSPB_1,1.05,24
100234,MSPB_1,1.1,31
100236,MSPB_1,1.05,22
100238,MSPB_1,1.06,20
100239,MSPB_1,1.05,35
100242,MSPB_1,1.07,24
100243,MSPB_1,1.02,17
100244,MSPB_1,1.03,44
100246,MSPB_1,1.08,14
