provider_id,measure_id,score,unweighed_patient_experience_of_care_domain_score
140124,MSPB_1,0.86,19
140125,MSPB_1,0.96,44
140127,MSPB_1,0.97,47
140130,MSPB_1,0.96,25
140133,MSPB_1,1.11,18
140135,MSPB_1,0.95,51
140143,MSPB_1,1.02,63
140145,MSPB_1,0.96,98
140147,MSPB_1,0.98,74
140148,MSPB_1,0.98,48
140150,MSPB_1,0.98,14
140155,MSPB_1,0.97,71
140158,MSPB_1,0.97,23
140160,MSPB_1,0.93,30
140161,MSPB_1,0.88,78
140162,MSPB_1,0.94,52
140164,MSPB_1,0.99,50
140166,MSPB_1,0.94,34
140167,MSPB_1,0.93,37
140172,MSPB_1,0.98,18
140174,MSPB_1,0.99,53
140176,MSPB_1,1.04,50
140177,MSPB_1,1.04,5
140179,MSPB_1,1.03,46
140180,MSPB_1,0.99,33
140181,MSPB_1,1.1,16
140182,MSPB_1,1.04,42
140184,MSPB_1,1,26
140185,MSPB_1,0.94,47
140186,MSPB_1,1,41
140187,MSPB_1,0.94,60
140189,MSPB_1,0.96,73
140191,MSPB_1,1.03,32
140200,MSPB_1,1.07,35
140202,MSPB_1,1.05,53
140206,MSPB_1,1.03,15
140208,MSPB_1,1.03,48
140209,MSPB_1,1.03,56
140210,MSPB_1,0.93,48
140211,MSPB_1,1.03,28
140213,MSPB_1,1.04,47
140217,MSPB_1,1.11,31
140223,MSPB_1,1.06,58
140224,MSPB_1,1.01,21
140228,MSPB_1,0.98,45
140231,MSPB_1,1.05,48
140233,MSPB_1,1.02,39
140234,MSPB_1,0.94,64
140239,MSPB_1,1.03,23
140240,MSPB_1,1.07,18
140242,MSPB_1,1.02,66
140250,MSPB_1,1.01,37
140251,MSPB_1,1.09,40
140252,MSPB_1,1.08,40
140258,MSPB_1,1.09,39
140275,MSPB_1,0.95,40
140276,MSPB_1,0.99,26
140280,MSPB_1,0.99,30
140281,MSPB_1,1,21
140286,MSPB_1,0.99,38
140288,MSPB_1,1.08,51
140289,MSPB_1,0.96,45
140290,MSPB_1,1.12,39
140291,MSPB_1,1.03,42
140292,MSPB_1,1.08,39
140294,MSPB_1,1,53
140304,MSPB_1,1.08,51
150001,MSPB_1,1.08,62
150002,MSPB_1,1.08,67
150004,MSPB_1,1.07,22
150005,MSPB_1,0.98,59
150006,MSPB_1,1,54
150007,MSPB_1,1.08,49
150008,MSPB_1,1.1,48
150009,MSPB_1,1,47
150010,MSPB_1,1.08,42
150011,MSPB_1,1.05,49
150012,MSPB_1,1,44
150015,MSPB_1,1.01,58
150017,MSPB_1,1.03,45
150018,MSPB_1,0.99,41
190177,MSPB_1,1.05,34
190183,MSPB_1,0.91,62
190202,MSPB_1,1.07,51
190204,MSPB_1,1.02,18
190205,MSPB_1,1.02,34
190236,MSPB_1,1.16,63
190242,MSPB_1,1.07,63
190250,MSPB_1,0.96,89
190263,MSPB_1,1,94
190274,MSPB_1,1.02,33
200001,MSPB_1,0.95,59
200002,MSPB_1,1.04,73
200008,MSPB_1,0.98,67
200009,MSPB_1,1,43
200018,MSPB_1,0.85,38
200019,MSPB_1,0.94,40
200020,MSPB_1,0.99,92
200021,MSPB_1,0.93,59
200024,MSPB_1,0.96,38
200025,MSPB_1,0.97,69
200031,MSPB_1,0.89,81
200033,MSPB_1,1.03,26
200034,MSPB_1,0.96,51
200037,MSPB_1,0.92,35
200039,MSPB_1,0.94,46
200040,MSPB_1,0.97,34
200041,MSPB_1,1.05,81
200050,MSPB_1,0.89,87
200063,MSPB_1,0.9,34
220001,MSPB_1,1.06,30
220002,MSPB_1,1.02,63
220008,MSPB_1,1.08,44
220010,MSPB_1,1.08,33
220011,MSPB_1,1.02,29
220012,MSPB_1,1.03,40
220015,MSPB_1,1.05,40
220016,MSPB_1,0.93,26
220017,MSPB_1,1.04,19
220019,MSPB_1,0.99,58
220020,MSPB_1,1.03,37
220024,MSPB_1,1,35
220029,MSPB_1,1.04,42
220030,MSPB_1,1.07,50
220031,MSPB_1,1,20
220033,MSPB_1,1.04,40
220035,MSPB_1,1.04,31
220036,MSPB_1,1.05,24
220046,MSPB_1,0.99,36
220049,MSPB_1,1.01,15
220050,MSPB_1,0.98,60
220051,MSPB_1,0.98,53
220052,MSPB_1,0.98,29
220060,MSPB_1,1.02,24
220063,MSPB_1,1,46
220065,MSPB_1,1.13,43
220066,MSPB_1,1.06,33
220067,MSPB_1,1.09,24
220070,MSPB_1,1.11,51
220071,MSPB_1,1.04,56
220073,MSPB_1,1.03,16
220074,MSPB_1,1.06,34
220077,MSPB_1,1.05,41
220080,MSPB_1,1.1,23
220082,MSPB_1,1.02,42
220083,MSPB_1,0.97,27
220084,MSPB_1,0.99,38
220086,MSPB_1,1.06,44
160016,MSPB_1,0.93,68
160024,MSPB_1,0.89,26
160028,MSPB_1,0.96,44
160029,MSPB_1,0.85,40
160030,MSPB_1,0.94,67
160032,MSPB_1,0.9,56
160033,MSPB_1,0.97,34
160040,MSPB_1,1.04,40
160045,MSPB_1,0.94,36
160047,MSPB_1,0.96,55
160057,MSPB_1,0.89,41
160058,MSPB_1,1.02,45
160064,MSPB_1,0.93,33
160067,MSPB_1,0.95,48
160069,MSPB_1,0.89,53
160079,MSPB_1,0.9,48
160080,MSPB_1,0.97,46
160082,MSPB_1,0.95,33
160083,MSPB_1,0.95,29
160089,MSPB_1,0.89,16
160104,MSPB_1,0.92,42
160110,MSPB_1,0.96,29
160112,MSPB_1,0.87,66
160117,MSPB_1,0.97,65
160122,MSPB_1,0.84,64
160124,MSPB_1,0.91,58
160146,MSPB_1,0.91,39
160147,MSPB_1,0.88,92
160153,MSPB_1,0.98,27
170001,MSPB_1,0.9,37
170006,MSPB_1,0.95,56
170009,MSPB_1,0.97,69
170010,MSPB_1,0.88,40
170012,MSPB_1,0.99,48
170013,MSPB_1,1.02,54
170014,MSPB_1,0.92,83
170016,MSPB_1,1.03,37
170017,MSPB_1,0.94,55
170020,MSPB_1,0.96,14
170023,MSPB_1,1.01,29
170027,MSPB_1,0.96,75
170040,MSPB_1,0.98,58
170049,MSPB_1,1,50
170058,MSPB_1,0.87,88
170074,MSPB_1,0.91,57
170086,MSPB_1,0.99,42
170094,MSPB_1,0.85,87
170103,MSPB_1,0.93,50
170104,MSPB_1,1.03,70
170105,MSPB_1,0.89,62
170120,MSPB_1,0.9,55
170122,MSPB_1,1,16
170123,MSPB_1,1.01,28
170133,MSPB_1,0.97,68
170137,MSPB_1,0.93,50
170142,MSPB_1,0.97,56
170145,MSPB_1,0.87,45
170146,MSPB_1,0.99,35
170150,MSPB_1,0.99,53
170175,MSPB_1,0.97,18
170176,MSPB_1,1.05,26
170182,MSPB_1,1.03,22
170185,MSPB_1,0.99,61
170186,MSPB_1,0.92,83
170197,MSPB_1,0.96,67
170200,MSPB_1,0.94,65
180001,MSPB_1,0.95,39
180002,MSPB_1,0.93,83
180004,MSPB_1,0.93,69
180005,MSPB_1,0.94,42
180009,MSPB_1,0.97,45
180010,MSPB_1,0.99,34
180011,MSPB_1,0.92,81
180012,MSPB_1,0.99,29
180013,MSPB_1,1.02,40
180016,MSPB_1,1.02,47
180017,MSPB_1,0.98,51
180018,MSPB_1,0.93,62
180019,MSPB_1,1.01,43
180020,MSPB_1,0.95,56
180021,MSPB_1,0.84,49
180024,MSPB_1,0.95,22
180025,MSPB_1,0.9,48
180027,MSPB_1,0.94,52
180035,MSPB_1,1.04,49
180036,MSPB_1,0.92,71
180038,MSPB_1,0.95,47
180040,MSPB_1,0.99,18
180043,MSPB_1,0.95,65
180044,MSPB_1,0.95,83
180045,MSPB_1,1.02,34
180048,MSPB_1,0.97,44
180049,MSPB_1,1.04,43
180050,MSPB_1,0.91,33
180053,MSPB_1,0.95,69
180056,MSPB_1,1.05,52
180064,MSPB_1,1,59
180067,MSPB_1,1,58
180069,MSPB_1,0.93,70
180070,MSPB_1,1,62
180078,MSPB_1,0.93,26
180079,MSPB_1,0.98,81
180080,MSPB_1,0.97,36
180087,MSPB_1,1.03,69
180088,MSPB_1,1,26
180092,MSPB_1,0.9,39
180093,MSPB_1,0.94,31
180101,MSPB_1,1.01,61
180102,MSPB_1,0.95,40
180103,MSPB_1,1.05,61
180104,MSPB_1,0.97,45
180106,MSPB_1,1.03,83
180116,MSPB_1,1.01,38
180117,MSPB_1,1.05,57
180124,MSPB_1,1.01,63
180127,MSPB_1,0.98,28
180128,MSPB_1,0.92,55
180130,MSPB_1,0.99,43
180132,MSPB_1,1,11
180138,MSPB_1,0.98,45
180139,MSPB_1,0.92,41
180141,MSPB_1,1,40
180143,MSPB_1,0.97,45
190001,MSPB_1,1.3,54
190002,MSPB_1,1.01,90
190003,MSPB_1,0.99,30
190004,MSPB_1,0.99,84
190007,MSPB_1,1.18,26
190008,MSPB_1,0.98,49
190011,MSPB_1,0.92,34
190013,MSPB_1,1.02,75
190014,MSPB_1,1.07,33
190015,MSPB_1,1.13,37
190017,MSPB_1,1.1,32
190019,MSPB_1,1.04,32
190020,MSPB_1,1.05,60
190025,MSPB_1,1.29,33
190026,MSPB_1,1.06,25
190027,MSPB_1,1.04,27
190034,MSPB_1,1.01,79
190036,MSPB_1,0.96,16
190039,MSPB_1,1.04,58
190040,MSPB_1,1.01,36
190041,MSPB_1,1.07,36
190044,MSPB_1,1.03,28
190045,MSPB_1,1.04,66
190046,MSPB_1,1.01,28
190050,MSPB_1,0.93,45
190053,MSPB_1,1.01,79
190054,MSPB_1,1.14,68
190060,MSPB_1,0.99,51
190064,MSPB_1,1.02,60
190079,MSPB_1,1.01,60
190086,MSPB_1,1.13,31
190098,MSPB_1,0.96,45
190099,MSPB_1,1.12,39
190102,MSPB_1,1.08,70
190111,MSPB_1,1.09,62
190116,MSPB_1,1.18,41
190125,MSPB_1,1.03,40
190144,MSPB_1,1.11,61
190146,MSPB_1,0.99,51
190160,MSPB_1,1.08,49
190164,MSPB_1,1.07,39
190167,MSPB_1,1.11,62
190175,MSPB_1,1.15,59
190176,MSPB_1,0.97,34
260032,MSPB_1,0.99,48
260034,MSPB_1,0.9,22
260040,MSPB_1,0.92,33
260047,MSPB_1,0.93,60
260048,MSPB_1,0.91,26
260050,MSPB_1,0.91,41
260052,MSPB_1,0.93,39
260057,MSPB_1,0.95,37
260059,MSPB_1,0.83,38
260061,MSPB_1,0.9,50
260062,MSPB_1,1,53
260064,MSPB_1,0.92,38
260065,MSPB_1,0.96,39
260068,MSPB_1,0.96,34
260070,MSPB_1,0.87,7
260074,MSPB_1,0.97,44
260077,MSPB_1,0.98,43
260078,MSPB_1,0.88,31
260081,MSPB_1,0.96,45
260085,MSPB_1,1.03,30
260091,MSPB_1,0.98,38
260094,MSPB_1,0.92,27
260095,MSPB_1,1,43
260096,MSPB_1,0.97,50
260097,MSPB_1,0.9,69
260104,MSPB_1,1.02,61
260105,MSPB_1,1.03,40
260108,MSPB_1,0.97,19
260110,MSPB_1,0.95,83
260113,MSPB_1,0.97,85
260116,MSPB_1,0.94,34
260119,MSPB_1,0.94,20
260137,MSPB_1,0.94,27
260138,MSPB_1,1,63
260141,MSPB_1,0.97,34
260142,MSPB_1,0.89,41
260160,MSPB_1,1,55
260162,MSPB_1,0.87,45
260163,MSPB_1,0.95,52
260175,MSPB_1,0.92,61
260176,MSPB_1,0.97,51
260177,MSPB_1,0.98,35
260179,MSPB_1,0.96,61
260180,MSPB_1,0.99,40
260183,MSPB_1,1,68
260186,MSPB_1,0.92,56
260190,MSPB_1,0.97,48
260191,MSPB_1,0.95,36
260193,MSPB_1,1.01,32
260195,MSPB_1,0.93,61
260200,MSPB_1,0.99,72
260210,MSPB_1,1.09,8
260214,MSPB_1,1,33
260216,MSPB_1,0.95,47
260219,MSPB_1,0.98,52
270003,MSPB_1,0.86,38
270004,MSPB_1,0.94,45
270012,MSPB_1,0.98,24
270014,MSPB_1,0.92,58
270017,MSPB_1,0.97,46
270023,MSPB_1,0.92,39
270032,MSPB_1,0.84,16
270049,MSPB_1,0.94,43
270051,MSPB_1,0.93,27
270057,MSPB_1,0.91,54
280003,MSPB_1,1.02,60
280009,MSPB_1,1.04,41
220088,MSPB_1,1.02,71
220090,MSPB_1,1.04,54
220095,MSPB_1,0.97,48
220098,MSPB_1,1.07,24
220100,MSPB_1,1.04,48
220101,MSPB_1,1,59
220105,MSPB_1,1.03,56
220108,MSPB_1,0.94,56
220110,MSPB_1,1.03,64
220111,MSPB_1,1.03,15
220116,MSPB_1,1.04,47
220119,MSPB_1,1.03,67
220126,MSPB_1,1,19
220135,MSPB_1,0.98,43
220163,MSPB_1,1.07,19
220171,MSPB_1,1.03,45
220174,MSPB_1,1.05,20
220175,MSPB_1,1.04,44
220176,MSPB_1,1.01,40
230002,MSPB_1,1.02,19
230003,MSPB_1,0.88,76
230004,MSPB_1,0.95,35
230005,MSPB_1,0.92,47
230013,MSPB_1,1.05,23
230015,MSPB_1,0.94,35
230017,MSPB_1,0.95,47
230019,MSPB_1,0.97,19
230020,MSPB_1,1.04,24
230021,MSPB_1,0.95,30
230022,MSPB_1,0.91,32
230024,MSPB_1,1.04,20
230029,MSPB_1,1.01,25
230030,MSPB_1,0.99,50
230031,MSPB_1,0.95,44
230035,MSPB_1,0.89,65
230036,MSPB_1,1.02,46
230037,MSPB_1,0.96,50
230038,MSPB_1,0.98,50
230040,MSPB_1,0.88,66
230041,MSPB_1,1.02,26
230046,MSPB_1,0.99,47
230047,MSPB_1,1.02,23
230053,MSPB_1,0.99,21
230054,MSPB_1,0.99,27
230055,MSPB_1,0.95,48
230058,MSPB_1,0.89,64
230059,MSPB_1,0.94,56
230066,MSPB_1,1.02,19
230069,MSPB_1,0.92,51
230070,MSPB_1,0.98,39
230072,MSPB_1,0.91,64
230075,MSPB_1,0.98,34
230077,MSPB_1,1.01,13
230078,MSPB_1,0.89,71
230080,MSPB_1,0.96,26
230081,MSPB_1,0.91,80
230085,MSPB_1,0.92,45
230089,MSPB_1,0.99,38
230092,MSPB_1,0.96,26
230093,MSPB_1,0.92,68
230095,MSPB_1,0.93,40
230096,MSPB_1,0.9,58
230097,MSPB_1,0.91,62
230099,MSPB_1,1.04,24
230100,MSPB_1,0.87,45
230104,MSPB_1,1.01,21
230105,MSPB_1,0.97,37
230106,MSPB_1,0.9,59
230108,MSPB_1,0.93,83
230110,MSPB_1,0.88,39
230117,MSPB_1,0.96,35
230118,MSPB_1,0.88,55
230121,MSPB_1,0.94,63
230130,MSPB_1,1.01,24
230132,MSPB_1,0.99,25
230133,MSPB_1,0.89,58
230141,MSPB_1,0.97,35
230142,MSPB_1,1.06,21
230146,MSPB_1,0.99,23
230151,MSPB_1,1.06,28
230156,MSPB_1,0.98,46
230165,MSPB_1,1,19
230167,MSPB_1,0.94,18
230174,MSPB_1,1,60
230176,MSPB_1,1.01,49
230180,MSPB_1,0.87,42
230193,MSPB_1,0.93,21
230195,MSPB_1,1.04,18
230197,MSPB_1,0.95,19
230207,MSPB_1,1.02,32
230208,MSPB_1,0.97,82
230216,MSPB_1,0.94,40
230217,MSPB_1,0.94,76
230222,MSPB_1,0.91,47
230227,MSPB_1,0.97,17
230230,MSPB_1,0.97,41
230236,MSPB_1,0.94,62
230239,MSPB_1,0.9,70
230241,MSPB_1,0.99,47
230244,MSPB_1,1.1,25
230254,MSPB_1,1.03,33
230259,MSPB_1,0.94,85
230269,MSPB_1,1.02,23
230270,MSPB_1,1.1,59
230273,MSPB_1,1.03,31
230277,MSPB_1,0.97,39
230302,MSPB_1,1,49
240001,MSPB_1,0.95,26
240002,MSPB_1,0.96,23
240004,MSPB_1,0.94,23
240010,MSPB_1,0.94,63
240014,MSPB_1,0.89,57
240018,MSPB_1,0.91,76
240022,MSPB_1,0.93,31
240030,MSPB_1,0.96,40
240036,MSPB_1,0.95,67
240038,MSPB_1,0.95,32
240040,MSPB_1,0.92,68
240043,MSPB_1,0.87,59
240044,MSPB_1,0.88,53
240047,MSPB_1,1,28
240050,MSPB_1,0.87,37
240052,MSPB_1,0.9,42
240053,MSPB_1,0.92,30
240056,MSPB_1,0.95,76
240057,MSPB_1,0.94,40
240059,MSPB_1,0.87,71
240063,MSPB_1,0.93,68
240064,MSPB_1,0.93,49
240066,MSPB_1,0.85,89
240069,MSPB_1,0.91,59
240071,MSPB_1,0.9,68
240075,MSPB_1,0.86,63
240076,MSPB_1,0.9,60
240078,MSPB_1,0.98,49
240080,MSPB_1,0.98,21
240084,MSPB_1,0.93,29
240088,MSPB_1,0.96,58
240093,MSPB_1,0.91,33
240101,MSPB_1,0.84,34
240104,MSPB_1,0.88,66
240106,MSPB_1,0.96,30
240115,MSPB_1,0.92,46
240132,MSPB_1,0.93,33
240166,MSPB_1,0.82,29
240187,MSPB_1,0.92,65
240207,MSPB_1,0.89,33
240210,MSPB_1,0.89,24
240213,MSPB_1,0.9,73
240214,MSPB_1,0.88,46
250001,MSPB_1,1.01,28
250004,MSPB_1,0.98,76
250006,MSPB_1,0.92,83
250007,MSPB_1,0.98,22
250009,MSPB_1,0.98,88
250015,MSPB_1,0.99,79
250019,MSPB_1,1.02,31
250025,MSPB_1,0.99,79
250031,MSPB_1,1.06,33
250034,MSPB_1,0.96,30
250036,MSPB_1,0.96,73
250038,MSPB_1,0.96,52
250040,MSPB_1,0.99,42
250042,MSPB_1,0.95,24
250048,MSPB_1,0.99,60
250050,MSPB_1,0.99,78
250057,MSPB_1,0.99,98
250058,MSPB_1,0.91,32
250067,MSPB_1,0.95,76
250069,MSPB_1,1.18,49
250072,MSPB_1,1.05,28
250077,MSPB_1,0.84,61
250078,MSPB_1,0.98,41
250082,MSPB_1,1.04,38
250084,MSPB_1,1.14,45
250093,MSPB_1,1.01,36
250094,MSPB_1,0.99,63
250096,MSPB_1,1.03,7
250097,MSPB_1,0.99,43
250099,MSPB_1,1.01,56
250100,MSPB_1,0.96,67
250102,MSPB_1,1.01,58
250104,MSPB_1,0.99,50
250117,MSPB_1,0.97,35
250122,MSPB_1,1.01,39
250123,MSPB_1,0.99,50
250126,MSPB_1,1.09,36
250138,MSPB_1,0.99,43
250141,MSPB_1,0.98,24
250162,MSPB_1,0.98,42
260005,MSPB_1,1.01,36
260006,MSPB_1,0.95,47
260009,MSPB_1,0.86,59
260011,MSPB_1,0.91,42
260015,MSPB_1,0.96,46
260017,MSPB_1,0.95,40
260020,MSPB_1,0.97,38
260022,MSPB_1,0.94,56
260023,MSPB_1,0.97,35
260025,MSPB_1,0.88,72
260027,MSPB_1,0.99,24
330073,MSPB_1,0.87,20
330074,MSPB_1,0.87,17
330078,MSPB_1,0.94,27
330079,MSPB_1,0.91,56
330080,MSPB_1,0.9,10
330084,MSPB_1,0.85,38
330085,MSPB_1,0.88,24
330086,MSPB_1,1.14,14
330088,MSPB_1,0.92,41
330090,MSPB_1,0.93,25
330094,MSPB_1,0.99,24
330096,MSPB_1,0.83,27
330101,MSPB_1,0.96,28
330102,MSPB_1,1,29
330103,MSPB_1,0.93,15
330104,MSPB_1,1.08,17
330106,MSPB_1,1,36
330107,MSPB_1,0.99,20
330108,MSPB_1,0.94,17
330115,MSPB_1,0.93,25
330119,MSPB_1,0.97,25
330125,MSPB_1,0.9,32
330126,MSPB_1,1.03,35
330127,MSPB_1,0.94,10
330128,MSPB_1,1.01,10
330132,MSPB_1,0.93,26
330135,MSPB_1,0.95,41
330136,MSPB_1,0.94,24
330140,MSPB_1,0.95,27
330141,MSPB_1,1.1,16
330151,MSPB_1,0.84,42
330153,MSPB_1,0.97,35
330157,MSPB_1,0.85,43
330158,MSPB_1,1.06,12
330160,MSPB_1,1.02,14
330162,MSPB_1,0.98,50
330163,MSPB_1,0.9,23
330164,MSPB_1,0.9,55
330167,MSPB_1,1,20
330169,MSPB_1,1.02,19
330175,MSPB_1,0.88,19
330180,MSPB_1,0.91,17
330181,MSPB_1,1.16,18
330182,MSPB_1,1,59
330184,MSPB_1,1.03,41
330185,MSPB_1,1.03,47
330188,MSPB_1,0.95,18
330191,MSPB_1,0.94,42
330193,MSPB_1,1.06,3
330194,MSPB_1,1,16
330195,MSPB_1,1.01,54
330196,MSPB_1,0.99,14
330197,MSPB_1,0.8,48
330198,MSPB_1,1.05,19
330199,MSPB_1,0.87,7
330201,MSPB_1,1.07,11
330202,MSPB_1,0.87,8
330203,MSPB_1,0.93,24
330204,MSPB_1,0.95,13
330205,MSPB_1,0.99,18
330208,MSPB_1,0.98,50
330211,MSPB_1,0.86,29
330213,MSPB_1,0.71,61
330214,MSPB_1,0.99,34
330215,MSPB_1,0.97,46
330218,MSPB_1,0.97,21
330219,MSPB_1,0.95,12
330221,MSPB_1,0.98,22
280013,MSPB_1,1,31
280020,MSPB_1,1.02,37
280023,MSPB_1,0.99,55
280030,MSPB_1,1.03,26
280032,MSPB_1,1.02,70
280040,MSPB_1,1.01,56
280060,MSPB_1,1.02,60
280061,MSPB_1,0.96,41
280065,MSPB_1,0.94,32
280077,MSPB_1,1.02,44
280081,MSPB_1,1.05,56
280105,MSPB_1,1.06,83
280111,MSPB_1,0.93,46
280125,MSPB_1,1.03,57
280128,MSPB_1,1.01,80
280130,MSPB_1,1.01,59
280132,MSPB_1,1.02,67
290001,MSPB_1,1,22
290003,MSPB_1,1.13,10
290005,MSPB_1,1.15,31
290006,MSPB_1,0.93,62
290007,MSPB_1,1.03,6
290008,MSPB_1,0.85,19
290009,MSPB_1,0.96,36
290012,MSPB_1,1.17,19
290019,MSPB_1,0.98,28
290021,MSPB_1,1.15,9
290022,MSPB_1,1.17,16
290032,MSPB_1,0.91,42
290039,MSPB_1,1.1,15
290041,MSPB_1,1.12,18
290045,MSPB_1,1.13,32
290046,MSPB_1,1.16,16
290047,MSPB_1,1.06,23
290049,MSPB_1,0.9,34
290053,MSPB_1,1.17,19
290054,MSPB_1,1.1,12
300001,MSPB_1,1.01,64
300003,MSPB_1,1.03,37
300005,MSPB_1,1.06,48
300011,MSPB_1,1.05,40
300012,MSPB_1,1.01,31
300014,MSPB_1,1.05,68
300017,MSPB_1,1.02,45
300018,MSPB_1,1.03,79
300019,MSPB_1,0.99,48
300020,MSPB_1,1.02,36
300023,MSPB_1,1.01,84
300029,MSPB_1,1.04,38
300034,MSPB_1,1.04,46
310001,MSPB_1,1.12,40
310002,MSPB_1,1.08,22
310003,MSPB_1,1.04,27
310005,MSPB_1,1.03,40
310006,MSPB_1,1.09,19
310008,MSPB_1,1.09,23
310009,MSPB_1,1.16,31
310010,MSPB_1,1.05,34
310011,MSPB_1,0.98,24
310012,MSPB_1,1.1,61
310014,MSPB_1,1.05,24
310015,MSPB_1,1.06,30
310016,MSPB_1,1.13,27
310017,MSPB_1,1.1,31
310019,MSPB_1,1.1,22
310021,MSPB_1,1.07,26
310022,MSPB_1,1.04,65
310024,MSPB_1,1.13,16
310025,MSPB_1,1.14,24
310027,MSPB_1,1.16,18
310028,MSPB_1,1.01,16
310029,MSPB_1,1.03,38
310031,MSPB_1,1.03,77
310032,MSPB_1,1.08,22
310034,MSPB_1,1.08,23
310038,MSPB_1,1.11,29
310039,MSPB_1,1.12,26
310040,MSPB_1,1.1,30
310041,MSPB_1,1.1,28
310044,MSPB_1,1.03,36
310045,MSPB_1,1.07,25
310047,MSPB_1,0.99,28
310048,MSPB_1,1.11,27
310050,MSPB_1,1.11,25
310051,MSPB_1,1.06,25
310052,MSPB_1,1.09,25
310054,MSPB_1,1.11,27
310057,MSPB_1,1.05,24
310060,MSPB_1,1,47
310061,MSPB_1,1,8
310064,MSPB_1,1.07,25
310069,MSPB_1,1.01,47
310070,MSPB_1,1.04,42
310073,MSPB_1,1.08,34
310074,MSPB_1,1.1,17
310075,MSPB_1,1.12,36
310076,MSPB_1,1.08,17
310081,MSPB_1,1.03,27
310083,MSPB_1,1.17,10
310084,MSPB_1,1.13,32
310086,MSPB_1,1.03,17
310091,MSPB_1,1.02,25
310092,MSPB_1,1.12,19
310096,MSPB_1,1.1,30
310108,MSPB_1,1.18,34
310110,MSPB_1,1.09,43
310111,MSPB_1,1.07,42
310112,MSPB_1,1.09,30
310113,MSPB_1,1.04,25
310115,MSPB_1,1.05,22
310118,MSPB_1,1.04,21
310119,MSPB_1,1.09,16
320001,MSPB_1,0.98,24
320002,MSPB_1,0.93,3
320003,MSPB_1,0.85,39
320004,MSPB_1,0.86,24
320005,MSPB_1,0.92,28
320006,MSPB_1,0.95,10
320009,MSPB_1,1,12
320011,MSPB_1,0.88,17
320013,MSPB_1,0.85,31
320016,MSPB_1,0.91,32
320018,MSPB_1,1.02,14
320021,MSPB_1,0.99,28
320022,MSPB_1,0.92,31
320030,MSPB_1,0.96,20
320038,MSPB_1,0.84,15
320059,MSPB_1,0.79,12
320061,MSPB_1,0.85,9
320063,MSPB_1,0.91,27
320065,MSPB_1,0.94,25
320074,MSPB_1,0.94,22
320085,MSPB_1,1.01,43
320086,MSPB_1,0.94,46
330003,MSPB_1,0.93,30
330004,MSPB_1,0.99,25
330005,MSPB_1,0.96,17
330006,MSPB_1,1,16
330008,MSPB_1,0.9,58
330009,MSPB_1,0.91,43
330011,MSPB_1,0.91,35
330013,MSPB_1,0.99,11
330014,MSPB_1,1.02,24
330019,MSPB_1,1.04,27
330023,MSPB_1,1,38
330024,MSPB_1,0.97,31
330027,MSPB_1,1,9
330028,MSPB_1,1.05,14
330030,MSPB_1,0.9,28
330033,MSPB_1,0.8,36
330043,MSPB_1,1.07,23
330044,MSPB_1,0.99,10
330045,MSPB_1,1.02,38
330046,MSPB_1,0.99,26
330047,MSPB_1,0.93,50
330049,MSPB_1,0.92,48
330053,MSPB_1,0.95,23
330055,MSPB_1,1.01,37
330056,MSPB_1,1.01,11
330057,MSPB_1,0.94,18
330058,MSPB_1,0.87,46
330059,MSPB_1,0.97,32
330061,MSPB_1,1.06,38
330065,MSPB_1,0.91,20
330067,MSPB_1,1.04,24
360121,MSPB_1,1.09,69
360123,MSPB_1,1,21
360125,MSPB_1,1.01,29
360131,MSPB_1,1.07,42
360132,MSPB_1,1.01,41
360133,MSPB_1,1,34
360134,MSPB_1,0.98,56
360137,MSPB_1,1,45
360141,MSPB_1,1.01,36
360143,MSPB_1,1.03,39
360144,MSPB_1,1.04,38
360145,MSPB_1,1.02,50
360147,MSPB_1,1,21
360148,MSPB_1,0.97,56
360150,MSPB_1,1.06,46
360151,MSPB_1,1.09,32
360152,MSPB_1,0.95,48
360155,MSPB_1,1.04,32
360156,MSPB_1,1.03,42
360161,MSPB_1,1.11,42
360163,MSPB_1,1,72
360170,MSPB_1,0.99,53
360172,MSPB_1,1.1,23
360174,MSPB_1,1.03,49
360175,MSPB_1,0.99,16
360179,MSPB_1,1.01,41
360180,MSPB_1,0.98,63
360185,MSPB_1,1.06,31
360192,MSPB_1,1.01,52
360195,MSPB_1,1.04,23
360197,MSPB_1,0.94,73
360203,MSPB_1,0.96,47
360210,MSPB_1,0.95,51
360211,MSPB_1,1.15,37
360212,MSPB_1,1.06,27
360218,MSPB_1,0.98,22
360230,MSPB_1,1.01,37
360234,MSPB_1,1.01,38
360236,MSPB_1,0.94,58
360239,MSPB_1,1,43
360259,MSPB_1,1.04,60
360262,MSPB_1,1.01,78
360270,MSPB_1,0.95,81
360276,MSPB_1,1.04,48
360348,MSPB_1,1.03,77
360354,MSPB_1,1,57
360359,MSPB_1,0.99,31
370001,MSPB_1,0.98,12
370002,MSPB_1,0.9,43
370004,MSPB_1,0.9,60
370006,MSPB_1,0.89,55
370008,MSPB_1,1,25
370013,MSPB_1,1.04,36
370014,MSPB_1,0.96,19
370016,MSPB_1,0.99,27
370018,MSPB_1,0.95,55
370019,MSPB_1,0.96,42
370020,MSPB_1,0.98,41
370022,MSPB_1,0.88,58
370023,MSPB_1,0.92,40
370025,MSPB_1,1.04,14
370026,MSPB_1,0.96,59
370028,MSPB_1,1.01,38
